timestamp,audio_ms,vision_ms,ttft_ms,decode_time_ms,tps,safety_ms,total_latency_ms
2026-05-24T17:27:02.422500+00:00,8271.232,1285.047,4325.736,1080.319,43.505663,6.121,15021.527
2026-05-24T17:27:12.465233+00:00,3306.679,0.000,3927.873,2782.314,46.364285,4.876,10042.373
2026-05-24T17:27:32.481679+00:00,2965.182,0.000,4212.890,635.957,42.455667,10.364,7858.815
2026-05-24T17:27:44.387994+00:00,2381.303,0.000,4071.962,136.719,43.885580,12.714,7403.487
2026-05-24T17:27:55.108671+00:00,4128.040,0.000,4038.066,613.993,43.974407,9.545,8832.650
2026-05-24T17:28:08.924260+00:00,4801.258,0.000,3814.519,598.223,45.133661,22.924,9270.297
2026-05-24T17:28:20.895545+00:00,2930.020,0.000,3862.305,665.696,40.559039,3.981,7482.827
2026-05-24T17:28:39.248476+00:00,4985.756,300.437,4023.401,987.435,47.598080,7.874,10330.247
2026-05-24T17:28:53.622980+00:00,4136.804,327.549,4173.909,1035.076,45.407312,63.364,9825.735
2026-05-24T17:29:04.633911+00:00,4865.210,872.534,4098.996,1139.696,41.239051,8.587,11010.595
2026-05-24T17:29:34.286100+00:00,5462.770,262.856,3996.984,1004.099,46.808132,1.491,10764.543
2026-05-24T17:30:00.381336+00:00,1884.818,0.000,3802.037,599.238,45.057260,9.835,6321.153
2026-05-24T17:30:21.625889+00:00,3582.586,0.000,3814.765,968.179,47.511867,1.583,8385.802
2026-05-24T17:30:33.633970+00:00,3151.129,0.000,3337.114,956.861,48.073839,0.808,7463.871
2026-05-24T17:30:43.095569+00:00,3185.773,0.000,3395.793,616.542,43.792604,0.815,7215.578
